Author,Comment,PublishedAt
@wh109,Janji apa?,2024-05-27T02:57:24Z
@purtinarendrani3803,Tiaranya akuuu❤❤❤,2024-05-27T02:55:57Z
@charliecheah4318,Sangat mantap,2024-05-26T14:27:46Z
@zafreenhisham9690,"Ashiap Homebois MPL MAL 2 minggu ni.. kasi perform juara!!!
ID: 49684247(2210)",2024-05-25T16:07:02Z
@Momoy-Momoy,Lagu kebanggaan nya Rosinda Karina,2024-05-24T13:54:28Z
@nybpb287,Tidak pernah gagal,2024-05-23T17:18:58Z
@andizreal2180,"Walaupun ga suka modelnya, tapi tetep suka lagunya.",2024-05-23T14:44:06Z
@fauzi9765,Gas 70 jt,2024-05-22T17:54:18Z
@Indrawan0000,❤,2024-05-22T01:29:18Z
@kistoato5261,Gass 70 jt,2024-05-22T01:04:54Z
@LijahRinah,Idola gua ni merdunya suara Tiara andini,2024-05-22T00:17:16Z
@reynalnugg0627,lagu ini selalu buat kita rindu pada sosok Rasulullah SAW❤️,2024-05-21T11:57:33Z
@user-kt3wx3wx1t,"Janji setia:
Kisah Rasulullah ❤🥺",2024-05-21T09:57:11Z
@user-vz9pd4xm6v,Si palin enak dan syahdu . Janji setia 🥹,2024-05-21T03:09:39Z
@MICHSANFAZAR,Sipaling masterpiece ni lagu😖,2024-05-20T18:23:10Z
@ApamBaleut-gh9dj,❤,2024-05-20T09:30:48Z
@harumtianggoro541,Otw 70 M🎉,2024-05-19T23:28:23Z
@akuchannel2604,Dede Bayi Gede... I miss you. *Lampung*,2024-05-19T16:44:52Z
@ellinellin5475,"Alhamdulillah akhirny 69jt views
Semangat menjemput 70jt views
Yakin bersama kita bisa
Bismillah",2024-05-19T16:23:14Z
@saovaroschompu6581,🙂,2024-05-19T02:46:28Z
@Karyuumoderog667,Semua akan hilang ketika ada nya pahlawan 🥀,2024-05-19T01:41:27Z
@FitriHandayani05-rt4tf,Rinduu kaliaann berdua alshad & tiara😢❤,2024-05-17T20:40:22Z
@widieyanti352,Masa lalu sudahlah berlalu..,2024-05-17T14:01:50Z
@AllzenaRahma,dari semua video klip ny Tiara janji setia akan tetap menjadi pemenang ny karena ada alshad,2024-05-17T02:42:15Z
@zia9394,Kangen pasangan ini 🥺😇,2024-05-16T11:06:26Z
@rhndoang3363,Ga pernah bosen sama lagu ini luvv bgt,2024-05-16T10:57:08Z
@adesaputra4497,keren.,2024-05-15T15:23:30Z
@mustikanovvitasari3985,😅,2024-05-14T23:02:34Z
@alisha_mutiara,"Lagu nya bagus banget, cocok buat kekasih buat keluarga, juga buat Rasulullah",2024-05-14T16:04:20Z
@muhammadzakaria6412,sorry AI aku jahat ke kamu maaaf banget yah,2024-05-14T13:19:00Z
@andiclaraazzahra3941,Up,2024-05-14T10:35:30Z
@andiclaraazzahra3941,Nice,2024-05-14T10:34:02Z
@fadhlanfadhillah1404,nangis karena teringat kisah Nabi Muhammad Shallallahu Alaihi Wasallam,2024-05-14T09:41:10Z
@AerilShahrul-kb1ul,Riyak hek rachel❤,2024-05-14T09:39:03Z
@muhammadrumaizanrumaling7372,"Dalam video klip ni, saya amat tertarik dengan kereta Toyota Corolla GL. Wlpn kereta tersebut sudah berusia 40 tahun namun masih lagi mampu dan gah berada di jalanraya.",2024-05-14T09:37:34Z
@skoopyofficial4018,"Kini aku mengerti, semua ini terjadi
Tak dipungkiri, hanya kamu yang kumiliki
Bumi di kala sunyi, kamu takkan sendiri
Aku di sini menantimu kembali
Andai saja ku bisa
Genggam tanganmu
Takkan ada kata rindu
Di dalam hatiku
Tahukah dirimu betapa diriku
Merindukan hadirmu ada di sini?
Percayalah, Kasih
Jarak dan waktu tak mampu menghapus
Janji setia menjaga hati
Andai saja ku bisa
Genggam tanganmu
Takkan ada kata rindu
Di dalam hatiku, oh-oh
Tahukah dirimu betapa diriku
Merindukan hadirmu ada di sini?
Percayalah, Kasih
Jarak dan waktu tak mampu menghapus (janganlah kauhapus)
Janji setia menjaga hati
Hujan turun mewakili hati
Terpa angin gambarkan resahku, ho-oh
Namun, kini pelangi (dan kini pelangi)
Datang menyinari kita
ho-oh
Merindukan hadirmu ada di sini?
Percayalah, Kasih
Jarak dan waktu tak mampu menghapus
Janji setia menjaga hati
Merindukan hadirmu ada di sini?
Percayalah, oh, Kasihku
Jarak dan waktu tak mampu menghapus
Janji setia menjaga hati
Ho-oh-oh-ho",2024-05-13T14:05:48Z
@wanfaisalchesuhaimi2776,"saya baca komen ramai cakap dengar lagu ini bagaikan related untuk Rasulullah SAW, teringatkan Rasulullah SAW.. Allahuakhbar
""Tahukah dirimu betapa diriku merindukan hadirmu ada disini"" ""Kita merindukan hadirmu ada disini"".. SubhanAllah",2024-05-13T04:46:49Z
@worapongsowapas2956,like,2024-05-12T23:06:26Z
@ilhamdaledo7078,bagussss banget,2024-05-12T13:44:49Z
@rahmadkurnia2994,Reffnya😭,2024-05-11T13:09:57Z
@user-by5rr8eg5c,เพราะมากเลยครับ❤,2024-05-09T15:57:31Z
@MinranaRana-wp1sd,Cinta ku cmn SMA Wahyu,2024-05-07T13:47:13Z
@PebriOno-gt7cv,Suaranya lembut dan bagus banget mbak tiara,2024-05-06T14:43:07Z
@HFz300,Selalu menangis ketika mendengar lagu ini sambil memikirkan sang nabi muhammad 😭,2024-05-05T06:16:46Z
@RafiAbdulAziz-gy2du,siall..lagu ini berhasil membuat saya nangis,2024-05-04T13:55:36Z
@novinovita2543,noer arief hidayat❤️,2024-05-04T09:01:50Z
@lolamelinda5423,Udah capek2 setia jaga hati eh di selingkuhin lagi dan lagi utk yg ke 3x ya,2024-05-03T05:56:54Z
@asmr094,Yok vote sctv music awards nya moo yok semngat,2024-05-02T02:49:47Z
@worawatworawat7615,",💕💕",2024-05-01T16:18:07Z
@riofebrian3594,Sudah 2024 nih 😢blum balik juga❤,2024-05-01T11:10:07Z
@tata-lf4jr,"Dan sampai sekarang aku masih menunggu janji itu bahkan sampai waktu itu tiba.
2014 rindu itu",2024-05-01T05:13:50Z
@s.k.a66,"Inget Mantan ❌
Inget Nabi Muhammad SAW ✅",2024-04-30T23:33:01Z
@fitriheriyanti1683,Bru nge model video clipny alsad tnyta duh syg bgt hubungan mreka hrus berakhir,2024-04-30T18:11:54Z
@MayangOctavia,"Lagu ny mengingt kn dgn suami hebat ku yng udh prgi k surga duluan , tunggu bunda ya yahh 😭😭",2024-04-30T01:21:42Z
@TokoKopkarPalapa,anjay #aldi,2024-04-30T00:25:09Z
@Tehkotak_Dellaa,Di menti 3:00 sampai 3:31 enak bgtt,2024-04-29T22:07:04Z
@aswankasikiaswankasiki8247,10/10🤩,2024-04-29T17:42:03Z
@dwikyramadhan6124,2024 masih setia dengerin lagu ini,2024-04-28T04:26:48Z
@ramadhanihsan2705,Lagu ini Jelek krn tdk relate dengan cinta seorang kekasih.. lebih relate tentang cinta seorang hamba kepada Rasulullah..,2024-04-27T17:44:55Z
@Rizki71712,padahal 11 hari yg lalu masih 4.9 jt😂,2024-04-27T11:22:32Z
@rikyadryansyah0948,Janset Hari ini Top 52 on spotifyy dikit lagi yokk,2024-04-27T10:24:30Z
@fivech3652,sering dipakai cerita Nabi Muhammad di Tiktok. Selalu merindukan beliau kalo denger lagu ini.,2024-04-27T07:31:46Z
@isaramadhaan4451,"Internet, please do your magic. Namanya Desi Alviani and i love her so muchhh. Seandainya kamu baca ini, aku cuma pngen kamu tau kalo aku bakal selalu nunggu kamu buat ""pulang"" lagi yah. Terimakasih banyak sudah hadir, aku bersyukur banget, berterimakasih banyak sama Tuhan. You always be my favorite dummy girl. I love ya!!! ❤",2024-04-26T20:44:20Z
@rikyadryansyah0948,Yok join top 50 spotify jangan males2an ya😊,2024-04-25T13:52:15Z
@Jawapride2024,Hohohoho,2024-04-25T11:32:57Z
@zhoratunayuwalmakia1718,Kesini gra² lagu ini jadi sound tiktok kisah abdi negara,2024-04-25T08:54:05Z
@R_6969_,kgn bgt vibes 2022 huffttt,2024-04-25T00:57:11Z
@yohanasiallagan3553,Yuk intip perjalanan karier tiara Andini https://youtu.be/L78WzEkdvLs?si=LDJJlqJYDyoCk2SF,2024-04-23T23:12:44Z
@Ngapocak,Best song ever,2024-04-22T11:45:23Z
@TaniaRifqi,"❤ tadinya suka sama kpop gk ngerti juga tapi kerasa banget gtuh,eh masyaallah nemu lagu lagu kk tiara aku jadi ter❤❤❤ banget nyentuh sekalee",2024-04-22T04:18:47Z
@aditiohariantoPutra,kukira aku satu satunya ternyata aku salah satunya..,2024-04-21T13:27:03Z
@vivophone9660,🥺,2024-04-21T11:43:58Z
@luthficahyadi6084,tahukah dirimu betapa diriku merindukan hadirmu...,2024-04-21T09:43:42Z
@egihergian5456,kesini gra2 lagu ini jadi sound tiktok kisah nabi muhammad😭,2024-04-21T03:21:22Z
@melatiku86lindamaniez57,"Singapore 2022-2023 thanks for someone yg mengisi hatiku selama   1,5 thn kmrn msh merindukanmu walaupun iklas melepasmu kini❤❤❤❤doa terbaikxu btmu dzna",2024-04-20T21:31:19Z
@user-zt8rz5jd9q,dari banyak nya lagu Tiara Andini tetep lagu janji setia pemenangnya💗💗,2024-04-20T12:20:10Z
@Alice_Kookie-8797,"Ya Allah lagu kesayangan hampir 2 taun aja, msh semangat kan moo gasin 100jt",2024-04-20T04:48:55Z
@kirinasaysareh7310,ตามมาจาก Tiktok Saya orang Thailand suka lagu Indo,2024-04-19T04:06:12Z
@loveAnikaAlhidayat,"*Bismillah Assalamualaikum kesayangan ku yg jauh di mata dekat di hati dan slu ada di setiap doa ku, happy anniversary kesayanganku puji syukur atas segala nikmat serta karunia-Nya yg begitu indah , Alhamdulillah 52, bulan kita lalu bersama dgn penuh cinta kasih sayang serta kerinduan yang kian mendalam,,I ❤ you forever, percayalah kasih jarak dan waktu tak mampu menghapus janji setia menjaga hati,(hati ini cinta ini diri ini adlah milikmu),slu doa terbaik utk kita utk hubungan,utk cinta kita ,sehat slu dan slu dlm lindungan nya serta ridhoi _Nya dan bismillah smoga Allah memperkenankan kita dlm FAYAKUN NYA amin*
*Happy anniversary ke52 (19""04""2024 ), bismillah langgeng utk selamanya amin "" ya rob*",2024-04-18T17:38:08Z
@ASN_Teladan,Titi..lagu2mu gak ada yg gagal fokus,2024-04-18T07:13:37Z
@isaramadhaan4451,"Internet please do your magic. Her name is Desi Alviani. Aku ngga peduli telingaku jadi tuli, kalo dengan dengerin lagu ini bisa bikin aku keinget kamu terus. Lagu ini mewakili apa yang mau aku bilang ke kamu. Jadi kalo kamu lihat tulisan ini, i just want you to know that i love you too much.",2024-04-17T18:38:10Z
@irwandi4121,Bismillah 100 jutaa views yokk,2024-04-17T17:24:46Z
@rafindrafarona,Apakah setia itu masih ada di zaman sekarang 😢,2024-04-17T03:32:12Z
@rizkyfidiansyah2768,Gas 68 jt Moo sambil up cantik (1),2024-04-16T23:07:21Z
@RioNarko,Yanto itu gak jelas😂😂😂😂😂,2024-04-16T14:59:46Z
@whateverneverminds2807,entah kenapa kalo denger lagu ini kayak related banget sama baginda Nabi Muhammad  Shalallaahu Alaihi Wassalaam. Ya Rabb semoga kami semua umat-Mu mendapatkan syafaatmu di yaumul akhir kelak. Allahumma sholli ala sayyidina Muhammad,2024-04-16T13:25:29Z
@MuhammadDanishWarawut,dimana kah kamu humairah hanna HAHAHAHAHA 😅,2024-04-16T10:39:47Z
@Rizki71712,"lagunya 4.29 detik
ditonton sebanyak 4900000 kali
berarti sama aja muter lagu ini selama 41 tahun nonstop 😂",2024-04-16T06:39:25Z
@1412__-3-,"Kini aku mengerti, semua ini terjadi
Tak dipungkiri, hanya kamu yang kumiliki
Bumi di kala sunyi, kamu takkan sendiri
Aku di sini menantimu kembali
Andai saja ku bisa
Genggam tanganmu
Takkan ada kata rindu
Di dalam hatiku
Tahukah dirimu betapa diriku
Merindukan hadirmu ada di sini?
Percayalah, Kasih
Jarak dan waktu tak mampu menghapus
Janji setia menjaga hati
Andai saja ku bisa
Genggam tanganmu
Takkan ada kata rindu
Di dalam hatiku, oh-oh
Tahukah dirimu betapa diriku
Merindukan hadirmu ada di sini?
Percayalah, Kasih
Jarak dan waktu tak mampu menghapus (janganlah kauhapus)
Janji setia menjaga hati
Hujan turun mewakili hati
Terpa angin gambarkan resahku, ho-oh
Namun, kini pelangi (dan kini pelangi)
Datang menyinari kita
ho-oh
Merindukan hadirmu ada di sini?
Percayalah, Kasih
Jarak dan waktu tak mampu menghapus
Janji setia menjaga hati
Merindukan hadirmu ada di sini?
Percayalah, oh, Kasihku
Jarak dan waktu tak mampu menghapus
Janji setia menjaga hati
Ho-oh-oh-ho",2024-04-16T00:19:06Z
@zahrohputralestari1141,Siaap,2024-04-15T18:19:49Z
@zahrohputralestari1141,Ok,2024-04-15T18:19:36Z
@zahrohputralestari1141,Bener,2024-04-15T18:19:25Z
@zahrohputralestari1141,Ya,2024-04-15T18:19:08Z
@zahrohputralestari1141,Bersama deny bastian dr,2024-04-15T18:18:32Z
@nighttime2693,"HARI JUMAT NANTI TANGGAL 19 TIARA ANDINI BAKAL RILIS LAGU BARU JUDULNYA ""KUPU KUPU"" CIPTAAN LALEILMANINO (PEMBUAT LAGU GEMINTANG HATIKU, 365, HADAPI BERDUA NYA TIARA) STAY TUNE TEMAN TEMAN",2024-04-14T10:55:35Z
@Kuromi_Lilac,Alshad ahmaddd & Tiara andinii🎉,2024-04-14T05:34:51Z
@DestraPerdana,"Dulu kalo mau sekolah, selalu di kasih uang saku lebih, beliau tidak berpesan Jagan boros boros ya nak ,tapi kalo ada temen gak jajan apa gimna kamu kasih ya Jagan pelit , selalu mengajarkan ringan tangan dan selalu bersedekah, dan di ajar kan selalu tabah dalam kondisi apa pun ,tanpa memikirkan perkataan orang lain, tenang tenang di sana nek , Sekarang aku udah 21 thn nenek, walaupun belum bisa di bilang orang baik Alhamdulillah, hal yg SDH di tanam kan sejak kecil ,masih tetep aku pertahananin",2024-04-14T04:08:30Z
@loveAnikaAlhidayat,"67.913.494 x ditonton (07;29) wib
14""04""2024
611 rb like 
89 rb komen 
2,52 JT subscriber",2024-04-14T00:30:11Z
@awannn_zzz,dengerin ini lagu ini pas lebaran 🤍,2024-04-13T09:26:36Z
@yasminalya5534,eeeeeeeee,2024-04-12T05:28:58Z
@lefikalangi9442,Kisa Lirik nyata : Merindukan Hadirmu ada Di sini🥺,2024-04-11T13:01:24Z
@jejuromero9091,"Lebaran dah selesai.!! Saatnya fokus VOTE SMS dan STREAMINGNYA makin digasssskan mootiara, ""Spread Love not Hate"" ❤🔥",2024-04-11T08:16:53Z
@user-dr6mp4wf1z,Janji Setia (Official Music Video),2024-04-10T04:18:33Z
@rikyadryansyah0948,Janset join top 50❤,2024-04-09T11:27:36Z
@user-vz9pd4xm6v,Alhamdulilah lagu si paling solehah “janji setia” comeback top 50 spotify 😍,2024-04-09T10:50:54Z
@krisfiyan7096,"Janset back to top 50,
gas naiki  lagi, kalau bisa kita bikin peak baru ke top 10.",2024-04-09T10:19:51Z
@gitaandriani3679,ga bosen bosen dengerin ni lagu janji setia.,2024-04-09T07:44:20Z
@rikyadryansyah0948,Yuk bawa janset ke top 50 lagi,2024-04-09T01:27:27Z
@jejuromero9091,"konsisten MaHa dan LPK soalnya lagi on-fire semoga segera masuk Top 20 dan 5, Janji Setia bismillah jebol Top 50, Tega terbangkan lagi bismillah Soon Cantik join Top 200, jangan lupa VOTE dan SMS-nya moo 3 piala buat Titi tahun ini Hattrick nya yokkk 🔥💥",2024-04-09T01:25:50Z
@user-vz9pd4xm6v,"Janji setia 4 langkah lagi comeback top 50 , keren bgt emg lagunya tipe lagu yah gk bosen di denger sih ini mah bakal long lasting ❤",2024-04-09T00:05:31Z
@doelge2157,"Suka lagu ini pas dikasih gamelan.. semoga nanti tampil di acara besar instrumennya pake gamelan.. terngiang"".. hhee",2024-04-08T21:56:39Z
@rezkyy27,2:48 🔥🔥,2024-04-07T02:50:05Z
@nabellawella2856,Kukira hanya lagu ternyata kisahku😭❤️,2024-04-06T22:12:59Z
@programmerexpertx100,ngoding sambil dengerin lagu galau :(,2024-04-06T15:40:01Z
@jangkrikboss3929,iy,2024-04-04T20:47:46Z
@azizahkurnia7384,"lagi sering puter lagu yg ini, eh hubungan mreka udh jadi mantan terindah tpi lagunya mantan terindah dinyanyiin breng arsy. yg pnting lagunya enak di dengerin yak. piss damai",2024-04-04T08:28:43Z
@desdiecast,❤️,2024-04-03T03:58:25Z
@WiwikwidyoriniRomadhona,Sumpah bareng sama alsha d ahmad,2024-04-02T13:49:51Z
@sh1nzuu,janji setia x cerita Nabi Muhammad Saw 😔,2024-04-01T08:16:00Z
@inez1497,Lagu yang mengingatkan ku betapa aku sayang sekali sama Allah swt dan Nabi Muhammad saw 😭😭😭🤲🏼🤲🏼🤲🏼🤲🏼,2024-04-01T07:07:05Z
@30detik40,Seketika inget fyp : Thank you JOKOWI,2024-03-31T20:50:24Z
@kaze6813,Gu keinget Rasulullah kalo dnger lagu ini,2024-03-31T14:19:53Z
@dayatyat9663,"Gak pernah bosen lagu ini
Semangat selalu, kak Tiara Andini",2024-03-31T07:43:43Z
@King_Aryant2008,Gimana kabarnya sekarang?pisah juga kan,2024-03-30T18:21:00Z
@RizkiFadilah-gf6op,Toke is dede,2024-03-29T13:45:04Z
@IsannFajarr,"6,8 jt yok semangatt",2024-03-28T18:41:12Z
@deniadiputra8115,Lagi terfavorit di album pertamaa❤ sekali dengar langsung suka waktu itu,2024-03-28T11:09:40Z
@deniadiputra8115,Lagi terfavorit di album pertamaa❤ sekali dengar langsung suka waktu itu,2024-03-28T11:09:22Z
@resazifahrina2937,Aaaaaaa lagu ini bikin aku sedih banget dikit dikit nangis love you pokoknya ini lagu favoritku,2024-03-27T05:35:53Z
@Parkchelyn,Janji setia+ kisah nabi,2024-03-26T23:35:28Z
@user-bi1ll7yg4o,"katamu ""kita janji sama sama untuk tidak saling meninggalkan""tetapi cuma aku yang menepati janji itu,sekrang aku sedang benar benar belajar melupakanmu walaupun tiap malam selalu merindukanmu,dan kegamonan ini sudah sebulan lebih,canda tawa kita akanku buang,dan akan ku cri cowo yg lebih teliti lagi",2024-03-25T05:25:03Z
@agusirwanto6196,Akuu bangetttt lagunya ..,2024-03-25T03:19:52Z
@rizkyfidiansyah2768,Gas 68 jt sambil up cantik moo,2024-03-24T09:55:33Z
@halinahjumat8083,Lagu ku bila rindu rasulullah ❤️,2024-03-23T23:24:11Z
@JOYNDEKKENE,Hujan turun mewakili hati...,2024-03-23T12:56:46Z
@dennyfalintino5304,vibes lagunya tuh enak bngt,2024-03-23T03:04:47Z
@rifkizibril2526,Aerosmith bgt 🤭,2024-03-22T15:16:25Z
@rismawati-zr8rr,aku suka banget sama hubungan mereka berdua 😢,2024-03-21T09:34:33Z
@bank_man303official6,Tiaraaa si Magnett...,2024-03-21T08:40:22Z
@viewwen,.,2024-03-21T05:53:17Z
@LisaSafitri-mi2eo,Datang menyinari kitaaaaa huaaaa  meriindukan hadirmu ada di sini percayalah kasiiihh jarak dan waktu tak menghapus janji setia menjagaa hatiiii,2024-03-21T04:37:41Z
@mobilelegens3521,Ad seseorang yng kenalkan aku sma lagu ini and kmi nyanyi bareng aku main gitar dia nyanyi suara nya merdu banget and orang itu sekarang sdh bahagia sma pilihan nya lagu ini mengingatkan aku sama dia😢,2024-03-20T23:17:10Z
@IGedeProTV,Lagunya tiara slalu sedih😢,2024-03-20T22:34:41Z
@DuriKepa21,When ketika lu nyibukin diri sendiri buat lupain dia... Merindukan hadirmu ada disini,2024-03-20T17:38:59Z
@syariatulhasanah3100,Gass 70 juta yuk janset🎉🎉🎉,2024-03-20T12:12:16Z
@AMF_GAME,Komen nyaa.. 🥺 Allahumma sholli alaa Sayyidina Muhammad ❤,2024-03-20T05:43:04Z
@aulvirgo,"67 juta.
20-03-24 jam 12.26",2024-03-20T05:26:32Z
@farahmelania1549,"karya"" Titi gak pernah ada yang jelek selalu bagusss",2024-03-19T23:54:15Z
@SimpanSimpang,Merdu banget suaranya,2024-03-19T13:23:14Z
@loveAnikaAlhidayat,"*Bismillahirrahmanirrahim , assalamualaikum cinta nya aku yg jauh Dimata dekat di doa*
*Selamat atas datangnya hari jadi kita yg ke 51 ya bii Smoga kedepannya lebih baik   dan doa terbaik ,Smoga kebahagiaan , keberkahan dan keridhoan menyelimuti hari "" kita ,dan Smoga kebahagiaan slu milik kita , Luv' u full kesayanganku,aku milikmu abii milik ku ,kita saling memiliki satu utk selamanya, bismillah kita dlm FAYAKUN NYA*
*Happy anniversary kesayanganku , AnkSh '19 forever emmuaaaach*
*Percayalah kasih jarak dan waktu tak mampu menghapus janji setia menjaga hati 19""Maret 2024*",2024-03-18T17:28:02Z
@loveAnikaAlhidayat,"*Bismillahirrahmanirrahim , assalamualaikum cinta nya aku yg jauh Dimata dekat di doa*
*Selamat atas datangnya hari jadi kita yg ke 51 ya bii Smoga kedepannya lebih baik   dan doa terbaik ,Smoga kebahagiaan , keberkahan dan keridhoan menyelimuti hari "" kita ,dan Smoga kebahagiaan slu milik kita , Luv' u full kesayanganku,aku milikmu abii milik ku ,kita saling memiliki satu utk selamanya, bismillah kita dlm FAYAKUN NYA*
*Happy anniversary kesayanganku , AnkSh '19 forever emmuaaaach*
*Percayalah kasih jarak dan waktu tak mampu menghapus janji setia menjaga hati 19""Maret 2024*",2024-03-18T17:27:27Z
@NanaAgustina179,Gasss 67.jt Moootiara❤,2024-03-18T16:54:26Z
@EliziRamadhani,"Ga pernah bosen sama lagu ini . Tiara alshd hubungan kalian jga breng sama hubunganku sama cwo ku ,jdi lagu ini sama sama pnya arti buat kita ❤❤",2024-03-18T15:57:44Z
@irgiirawan3112,Mewek aku keinget kisah rasulullah saw,2024-03-18T09:21:13Z
@wh109,Janji setia itu bukan lagu religi. Tapi bulan puasa chartnya stabil dan cenderung naik. Karena enak bgt baca kisah nabi pake backsound lagu ini.,2024-03-17T13:51:08Z
@srinurhaliza3984,apis piros aku masih ingin dapat kesempatan buat kita sama sama lagi 😢 knp kita seperti ini.  howw?????,2024-03-17T05:29:01Z
@ranydwisetyani669,"Semua lagu tiara enak bgt , tapi ada satu lagu yg aku suka pake bgt Janset ❤",2024-03-16T06:14:22Z
@aguskurniawan5866,P,2024-03-14T11:24:13Z
@dhiyaulhaqaxisfadhillah,Menyalaa sayangggg❤,2024-03-14T07:52:21Z
@manuelhutagalung89,"Lagunya mirip Aerosmith "" i don't want miss a thing"" apakah plagiat?",2024-03-13T21:19:07Z
@angelinesouver9695,Aku sengaja datang mlm ini buat dengerin lagu ini.. krna lagu ini suka jd backsound kisah kisah nabi di IG.. jd aku lg rindu bgt sama nabi muhammad.. selain solawatan suka denger lagu ini..,2024-03-13T15:28:23Z
@_Tolak_angin,"Lagu ini ada berkahnya juga karena sering dibuat backsound nabi Muhammad Saw 
Sukses buat titi",2024-03-13T10:56:57Z
@arymori1939,Suka banget Ama tipe suaranya Tiara❤ sukses terus ya,2024-03-12T13:54:28Z
@user-sl2si9sc4h,"Tiara cantik, comel dan lagu ni sedap sangat",2024-03-12T11:27:55Z
@baribudiarji2agmailcom,DS ustieyyreityuudyx7jdyujyyryxhyjsyxyydhuuurydkycuyydyuthyxyuejiudujfuyyryyyuduyhhdhhdhuxuhxhjdhxhehhsyyxgghdychhdhhshhdhyuuuuududuudhhhhdhdusuuyyxyyhududuuudhyhhhhdhhdhhhhdhhhhdhhduhudhhduhhchhdhhhduudhhfhhhu,2024-03-12T06:57:37Z
@baribudiarji2agmailcom,Vhjhghhhhuhigihhigugghfhfhgghgghhgijhhihgjuhhihhhhhhhhjuiioouiiiituiyiuuiiyijlkkjjuhhuuuuukkji,2024-03-12T06:54:48Z
@adengb19,2024 hadir,2024-03-12T03:17:24Z
@UlulNgilmi-sp4dl,"Jadi suka sama lagu ini dan sering bgt dengerin, cuma gara"" Lagu ini lagu favorit mantan saya😅",2024-03-11T14:10:40Z
@DuriKepa21,Makin lama makin enak aja lagunya,2024-03-11T08:39:02Z
@dhuta8131,Asta handoko itu personil RAN apa bukan sih?,2024-03-10T13:18:40Z
@alihariyanto2920,lagu yang selalu lewat nih,2024-03-10T02:27:00Z
@telvininnocent,I don’t understand the words but I still like the song,2024-03-08T10:51:48Z
